Team_Id,Team_Name,Average Salary,2016 ESPN BPI,2015 ESPN BPI,2014 ESPN BPI,2013 ESPN BPI,2012 ESPN BPI,Moore 2016,Moore 2015,Moore 2014,Moore 2013,Moore 2012,Moore 2011,Kenpom 2016,Kenpom 2015,Kenpom 2014,Kenpom 2013,Kenpom 2012
1181,Duke,6364220,87.4,89.5,83.7,88.5,85.4,50.62,44.15,44.61,,,,0.1869,0.1101,0.0793,,
1257,Louisville,6101402.8,87,82.9,88.3,91.3,82.5,58.04,64.31,61.55,69.16,66.06,68.99,0.324,0.3965,0.2949,0.6564,0.4156
1246,Kentucky,5314623,83,94.5,85.5,73,92.4,70.37,70.2,67.74,74.62,73.88,71.99,0.7076,0.6362,0.5382,0.7502,0.7442
1242,Kansas,4433052.4,86.4,85.3,86.7,85.5,87.7,72.71,76,74,78.98,79.73,81.99,0.7187,0.7581,0.6669,0.7716,0.8455
1277,Michigan St,3752921.8,87.4,81.4,85.1,83.7,87.4,48.45,45.64,50.92,46.59,46.92,50.2,0.2143,0.1225,0.1932,0.091,0.0677
1196,Florida,3705291,77.6,75,90.1,89,80.8,50.43,54.58,48.71,46.41,51.15,56.96,0.2503,0.2977,0.1988,0.095,0.1087
1326,Ohio St,3071400,70.7,81.4,82.8,84.8,88.6,70.58,66.76,67.3,67.61,64.39,61.27,0.677,0.5694,0.4698,0.5402,0.4027
1112,Arizona,2729527.75,84.4,90.9,91.1,83,74.5,48.68,43.2,47.54,46.92,49.48,43.1,0.2189,0.0719,0.1565,0.102,0.0896
1231,Indiana,2728750,82.6,72.5,68.5,88,82.1,,,,,,,,,,,
1417,UCLA,2678493.25,71.4,73.5,83.2,77.7,68.7,56.1,64.48,67.55,58.12,64.6,65.29,0.1858,0.4426,0.6188,0.2308,0.4681
1329,Oklahoma St,2458333.333,64.8,71.8,81.8,81.4,63.2,52.88,55.67,53.2,61.74,61.26,65.73,0.2769,0.2861,0.1163,0.274,0.2809
1400,Texas,2435000,79.1,77.5,73,62.5,78,84.56,92.09,88.35,81.65,78.18,84.4,0.8938,0.9649,0.9519,0.8961,0.7817
1452,West Virginia,2363333.333,85.2,78.6,68.8,58.4,73.6,69.34,73.39,76.11,74.09,65.96,73.58,0.6923,0.7444,0.7859,0.7462,0.3331
1328,Oklahoma,2350000,86.5,83.1,79.2,74.4,62.7,69.39,59.66,61.84,60.37,65.12,65.24,0.8181,0.3658,0.3589,0.3431,0.4255
1437,Villanova,2342143.75,88.5,89.6,85,70.6,64.9,43.34,47.57,49.38,55.65,50.12,46.64,0.0965,0.1435,0.1479,0.2482,0.1074
1458,Wisconsin,2319135.4,77.7,92,85.8,79.2,81.7,75.47,79.12,77.42,74.63,69.09,73.66,0.7447,0.825,0.7708,0.6959,0.5784
1268,Maryland,2252488,82.7,76.9,75.1,73.5,60.5,54.57,51.92,65.59,68.09,64.98,66.21,0.3038,0.2359,0.4791,0.5154,0.4026
1116,Arkansas,2219794,71.2,78.9,75,65.6,61.4,,,,,,,,,,,
1207,Georgetown,2190754,70.2,78.9,67.4,82.2,80.2,60.88,59.26,62.75,66.25,55.71,53.08,0.3698,0.2914,0.3416,0.5006,0.1869
1266,Marquette,2170322.333,66.9,61.7,68,80.4,80.7,64.81,68.99,68.54,65.81,70.64,68.54,0.4434,0.5293,0.5717,0.3828,0.5432
1124,Baylor,2133849.667,77.7,80.1,76.2,74.5,81.7,,,,,,,,,,,
1276,Michigan,2096998,74.7,66,81.8,84.1,75.9,54.94,51.42,54.37,53.31,61.94,67.73,0.3083,0.1796,0.2279,0.1719,0.3842
1163,Connecticut,2083333.333,81,68.9,82.3,75.6,76,67.18,57.23,56.03,61.01,63.29,65.89,0.5838,0.2688,0.1721,0.2976,0.3834
1345,Purdue,2014693,83.4,74.1,63.3,61.7,73.8,80.48,80.83,83.41,86.15,84.37,76.33,0.863,0.8851,0.8677,0.8628,0.9024
1438,Virginia,1999750,88.4,90,86.9,74.3,77.9,63.86,67.87,71.47,75.25,78.34,80.02,0.5805,0.5559,0.6819,0.7895,0.8236
1374,SMU,1911894,85.1,78.6,78.9,50.2,49.3,50.45,48.89,50.28,56.21,58.86,58.1,0.2248,0.118,0.1042,0.2436,0.2878
1332,Oregon,1900000,81.4,73.3,81.6,76.9,70.2,53.76,53.77,51.54,47.02,50.36,57.34,0.1598,0.142,0.1122,0.0563,0.0525
1338,Pittsburgh,1878544.333,75.9,63.8,83.4,83,66.8,,,,,,,,,,,
1385,St John's,1874917,45.2,70.9,71.9,63.2,53.6,72.59,76.54,74.06,76.51,68.47,72.64,0.698,0.7978,0.7135,0.7916,0.4646
1435,Vanderbilt,1844471,81,75.3,62.2,61.3,80.2,63.08,72.31,71.4,75.19,64.48,77.95,0.2953,0.6199,0.5462,0.6656,0.2617
1104,Alabama,1820000,67.7,70,64.6,69.5,78,62.62,61.13,71.07,65.49,64.6,68.21,0.3891,0.3343,0.5635,0.5338,0.4444
1301,NC State,1817250,70,75,70.2,80.1,54.8,58.59,66.21,61.56,65.27,68.09,63.03,0.3755,0.5659,0.3512,0.3613,0.5803
1279,Mississippi,1808814,67.7,74.1,68.5,76.9,66.4,52.97,59.92,63.2,66.72,61.01,70.08,0.1252,0.2787,0.3787,0.496,0.2482
1113,Arizona St,1804500,68.1,68.2,74.8,69.1,43.8,,,,,,,0.2443,0.2551,0.1632,0.4358,0.5023
1314,North Carolina,1777071.25,89.5,83.7,79.4,77.5,88.4,59.03,60.44,66.13,64.34,55.75,60.53,0.2507,0.2972,0.4986,0.3552,0.1548
1455,Wichita St,1752166.667,81.6,83.2,88.2,79.2,83.3,48.14,60.02,61.48,64.91,49.09,53.34,0.1004,0.3344,0.4196,0.4495,0.0745
1272,Memphis,1751666.667,67.6,63.7,74.4,81,83.6,67.58,64.4,66.68,72.91,72.9,70.75,0.5034,0.4284,0.5093,0.7867,0.7051
1234,Iowa,1651725,83.1,74.9,80,74.6,61.2,67.86,73.59,71.35,67.64,71.6,68.84,0.5624,0.7523,0.6355,0.4474,0.6972
1393,Syracuse,1647945.5,76.5,70.1,84,83.5,90.2,79.87,80.56,75.63,79.27,74.03,83.19,0.8257,0.8649,0.6229,0.8331,0.6456
1401,Texas A&M,1605750,82.5,73,60.6,64.5,58.9,79.02,78.53,76.74,77.74,77.72,85.6,0.7694,0.8078,0.7668,0.7792,0.7511
1428,Utah,1600000,79.2,83.8,75.4,59.9,30.6,67.96,68.8,56.96,59.27,59.5,59.63,0.5488,0.6492,0.2129,0.284,0.2632
1235,Iowa St,1564916.667,83.5,81.8,83.8,76.5,76.4,59.64,64.09,62.66,65.01,64.84,65.24,0.4097,0.494,0.4579,0.5146,0.4451
1243,Kansas St,1563746.667,73.8,65.8,73.1,77.6,78.4,82.3,71.42,75.04,76.82,78.85,77.19,0.8697,0.6047,0.7427,0.7887,0.828
1304,Nebraska,1525000,65.1,59.9,70,55.7,,52.6,52.37,52.13,55.52,59.18,58.27,0.2368,0.2339,0.1299,0.1782,0.3167
1208,Georgia,1507000,72.1,76.4,66.4,61.6,61.1,59.82,66.53,68.24,69.13,53.85,66.9,0.3724,0.5298,0.5888,0.6055,0.1063
1261,LSU,1506000,70.9,73.5,70.4,64.2,64.3,49.31,41.08,49.28,52.08,46.64,47.91,0.2023,0.0537,0.1353,0.1874,0.1188
1228,Illinois,1505500,59.7,69.5,70.9,69.7,67.4,,,,,,43.35,,,,,
1153,Cincinnati,1504477.5,80.9,72.6,80.4,76.7,75.1,46.02,50.48,55.36,57.89,62.63,64.03,0.0666,0.1015,0.2044,0.2821,0.3875
1199,Florida St,1501750,74.1,64.3,74.3,61.4,77.8,52.04,61.67,61.99,65.25,64.77,62.14,0.2196,0.4552,0.3504,0.44,0.4548
1143,California,1456500,80.9,61.5,70.2,72,76.9,63.38,65.57,65.38,69.59,67.18,66.11,0.4202,0.5055,0.458,0.583,0.519
1397,Tennessee,1425000,64.9,64.3,80,70,70,67.87,64.15,58.11,55.55,58.9,59.33,0.6689,0.4968,0.2698,0.1634,0.2472
1281,Missouri,1369375,55.5,48.2,72.5,79.5,85.7,44.18,51.2,54.92,54.14,46.88,39.75,0.1028,0.1148,0.2317,0.2086,0.0887
1449,Washington,1307270,73,61.5,61.7,68.2,70.5,79.68,76.83,81.28,79.71,83.11,84.51,0.8557,0.8079,0.87,0.8257,0.8543
1433,VA Commonwealth,1185625,78.7,78.1,82.3,80.2,72.3,46.22,50.69,52.55,52.54,54.08,59.4,0.1899,0.4821,0.6881,0.3305,0.3071
1211,Gonzaga,1104110.5,79.6,89.1,79.7,87.4,79.2,78.02,75.09,78.03,71.25,77.46,84.3,0.7927,0.6752,0.7781,0.589,0.7159
1160,Colorado,1003750,73.8,62.1,71.5,75.8,65.3,54.87,70.77,70.85,58.7,73.09,74.3,0.2178,0.6791,0.6818,0.2853,0.6966
1344,Providence,981911,73.1,75,73.4,68.9,56.1,63.57,65.96,64.4,61.06,65.2,68.38,0.5187,0.5567,0.3794,0.3161,0.4063
1323,Notre Dame,960701.6667,79.3,84.6,65.3,76.6,70.3,65,55.29,63.62,67.34,65.86,74.93,0.6208,0.2572,0.4026,0.5152,0.4991
1166,Creighton,945725,73.8,63.6,81.5,83.1,78.4,59.15,65.25,64.64,57.18,52.25,54.23,0.334,0.4618,0.4326,0.2427,0.1153
1307,New Mexico,931500,62.8,53.9,79.5,84,79.1,74.94,69.72,73.15,75.92,76.29,81.36,0.7603,0.6277,0.7156,0.8124,0.7141
1155,Clemson,923300,73.8,64.4,73.9,59.9,65.5,64.54,72.73,68.68,79.27,73.88,74.47,0.4822,0.6966,0.5465,0.8615,0.6788
1386,St Joseph's PA,902651,76.3,52.1,72.6,65.6,70.7,71.79,65.71,68.75,64.43,63.54,61.8,0.6776,0.4665,0.5878,0.4342,0.4238
1378,South Florida,877000,42.8,37.2,48.1,55.8,69.4,80.24,75.02,87.32,78.09,80.73,89.19,0.8591,0.7156,0.909,0.8016,0.8108
1269,Massachusetts,843667,49.2,59.8,76.4,65.6,68.6,48.03,48.78,55.15,50.34,56.9,58.58,0.1448,0.1501,0.2136,0.1447,0.2414
1462,Xavier,818219.6667,85,77.7,71.9,67.5,70.8,56.65,61.64,51.73,59.63,63.95,66.48,0.279,0.4073,0.1006,0.251,0.391
1361,San Diego St,809565,69.9,72.3,81.2,78.7,73.5,77.53,73.5,82.31,81.99,80.25,75.45,0.8015,0.6642,0.8697,0.8873,0.8196
1424,UNLV,795000,64.5,62,68.4,78.8,75.9,64.02,57.21,58.4,60.57,58.52,48.93,0.6623,0.3031,0.3503,0.3066,0.2926
1387,St Louis,731976,44.8,39.9,77.9,80.9,79.9,53.41,55.09,58.89,60.53,64.83,57.78,0.2723,0.2152,0.3061,0.3771,0.4744
1461,Wyoming,715008,51.2,60.5,60.2,64.7,65.4,57.4,59.37,61.98,59.47,55.3,61.41,0.354,0.2709,0.3682,0.3426,0.1802
1206,George Mason,714500,45.5,44.9,56.1,56,62.6,53.06,61.23,57.95,54.21,55.19,50.69,,,,,
1336,Penn St,709372,59.7,64.3,63.9,49.4,55.2,61.57,64.77,62.37,59.6,57.2,51.09,0.3662,0.4845,0.3452,0.2425,0.1708
1396,Temple,626701.5,68.4,69.6,51.1,71.5,77.3,71.94,76.04,71.94,78.73,75.19,68.48,0.6531,0.7927,0.5928,0.7453,0.7317
1129,Boise St,602451,68,71,70.3,74.5,54.1,75.98,76.39,78.92,76.27,76.34,74.46,0.7743,0.8056,0.8015,0.7482,0.7389
1412,UAB,597500,62.3,55.9,52,52.3,57.6,54.51,60.28,70.01,66.65,67.02,65.56,0.2609,0.3202,0.6314,0.4855,0.4907
1161,Colorado St,585000,55,68.8,57.2,78.5,67.6,44.75,54.47,53.27,55.77,59.1,52.03,0.0827,0.3022,0.1576,0.2312,0.3301
1125,Belmont,577353.3333,61.9,54.5,61.8,73.7,75.1,59.37,60.98,66.95,76.99,71.98,63.44,0.4138,0.3818,0.5371,0.7938,0.7233
1429,Utah St,571444,54.2,56.3,62.2,60.6,55.4,63.69,66.65,67.81,66.71,69.88,66.06,0.4304,0.4826,0.4134,0.4678,0.5521
1320,Northern Iowa,558000,63.1,82.9,61.1,69.4,65.6,63.21,62.52,62.84,72.16,74.39,70.7,0.5027,0.4375,0.4157,0.7076,0.6501
1209,Georgia St,499000,49.7,65.8,64.6,46.1,62.8,58.5,59.99,62.93,71.56,70,67.61,0.265,0.2993,0.4116,0.6076,0.546
1173,Dayton,493600.5,75,76.5,74.9,71.2,67.6,58.46,58.86,66.02,67.95,78.66,70.99,0.3162,0.3185,0.5577,0.4807,0.8102
1409,Tulsa,480606,75.2,64,64.4,52,66.1,83.97,93.43,84.54,88.03,83.22,91.37,0.8977,0.9594,0.8966,0.9345,0.8666
1318,Northeastern,461032,55.7,58.3,43.7,50.1,46.9,66.83,64.32,68.72,61.52,70.93,76.31,0.5188,0.4024,0.5331,0.2935,0.6077
1454,WI Milwaukee,459151,61,42.9,53,29.3,54.1,55.76,58.19,55.48,56.18,53.06,55.84,0.2927,0.3879,0.2124,0.2588,0.1947
1253,Long Beach St,445054,61.8,53.8,51.7,51.9,73.3,59.37,64.58,68.13,67.37,56.87,61.01,0.4327,0.6006,0.5976,0.6049,0.2551
1379,Southern Miss,438000,30.5,31.1,70.5,71.3,71.7,62.83,65.87,66.82,60.7,60.1,58.92,0.5147,0.5333,0.5423,0.3319,0.272
1139,Butler,434382,77.3,79.5,62,74.7,55.5,58.93,64.34,60.02,54.96,60.24,59.22,0.4374,0.565,0.3403,0.1907,0.3609
1388,St Mary's CA,396317,78.4,67.5,70.2,76.5,73.9,63.41,64.52,62.32,73.84,70.32,69.65,0.4016,0.3565,0.3305,0.6059,0.5687
1443,WKU,377000,47.7,56.1,50,50.6,46.2,49.65,57.8,54.38,52.45,53.23,44.95,0.1653,0.346,0.2357,0.1651,0.1616
1308,New Mexico St,371422.6667,59.4,61.4,66.1,66.4,70.1,62.65,59.05,64.63,63.45,60.47,61.84,0.528,0.2987,0.4061,0.374,0.2753
1350,Richmond,362339,66.4,70.6,66,63.4,59.6,62.92,59.41,62.6,53.37,66.66,70.87,0.5242,0.3638,0.3418,0.1521,0.5431
1248,Lafayette,356543.5,22.6,47.7,39,48.1,37.9,71.51,69.08,63.71,72.95,71.82,68.39,0.7026,0.6267,0.3804,0.694,0.6198
1172,Davidson,351315,63.3,74.4,58.3,68.3,68.9,55.42,52.4,55.23,47.13,50.45,51.86,0.2703,0.1561,0.2543,0.098,0.0732
1178,Detroit,341775,51.8,48.7,46,65.7,58.3,63.22,57.51,60.01,66.7,73.01,71.84,0.4491,0.2353,0.2777,0.5004,0.6564
1382,St Bonaventure,328465,68.2,60.5,66.3,58.2,69.4,53.14,55.69,61.03,60.4,61.62,65.51,0.2067,0.2189,0.3269,0.3268,0.3494
1107,Albany NY,320830,57.4,56.5,47.4,51.6,43.5,59.15,62.53,68.22,74.52,62.94,58.03,0.3969,0.4123,0.4731,0.6662,0.468
1103,Akron,320000,68,61.2,56.7,73.5,68.7,76.6,76.96,88.32,88.48,86.02,86.97,0.8101,0.7876,0.9502,0.9515,0.9058
1325,Ohio,315985,60.9,40.2,59.6,66.5,68.3,40.96,40.09,55.04,50.33,52.13,50.69,0.0749,0.0323,0.1983,0.1117,0.1297
1138,Buffalo,315112,57.7,70.2,62.1,47.4,63.1,58.67,57.32,63.09,63.15,60.67,58.57,0.3782,0.2716,0.3644,0.4393,0.3338
1444,W Michigan,312000,47.8,53.7,57.3,53.8,49.6,77.95,75.59,78.32,72.5,83.53,83.46,0.8034,0.635,0.7968,0.5941,0.8558
1414,UC Irvine,310000,63,62.1,61.4,54.9,36.2,66.06,65.42,64.27,62.1,61.09,58.86,0.476,0.3926,0.406,0.2993,0.2838
1114,Ark Little Rock,304038,72.8,39.7,42,45.6,47.2,67.52,66.08,74.22,71.5,65.69,66.23,0.5937,0.4085,0.6169,0.6378,0.419
1259,Loyola MD,289354,30.2,29.6,29.2,57,59.9,61.63,56.59,50.01,49.16,60.7,66.47,0.4791,0.2068,0.1006,0.0733,0.3035
1434,Valparaiso,285927,77.5,67.3,52.3,70.1,56.3,76.42,73.58,76.31,72.54,67.47,70.87,0.735,0.7072,0.7845,0.6093,0.4745
1372,SF Austin,276250,65.9,71.1,67.1,65.7,47.8,61.02,62.57,56.78,58.98,60.84,53.94,0.4153,0.5446,0.2138,0.2302,0.3153
1157,Coastal Car,275171.5,54.5,57,47.4,43.1,49.7,57.18,59.52,60.3,64.73,59.36,58.45,0.3638,0.42,0.3363,0.4367,0.2379
1184,E Kentucky,269630,45.4,55.6,56.8,59.7,38.6,62.56,63.97,69.73,73.1,72.38,79.36,0.3998,0.3789,0.5463,0.5551,0.6478
1330,Old Dominion,269000,59.4,70.3,50,31.2,62.8,74.01,78.76,77.59,84.18,82.48,79.43,0.73,0.8537,0.7397,0.9111,0.8989
1142,Cal Poly SLO,240813,46.8,49.7,47.4,52.8,48.9,73.93,77.44,76.08,74.94,73.9,79.65,0.7239,0.8025,0.7241,0.6383,0.6477
1264,Manhattan,237636,37.6,49.8,67.5,47.9,57.8,59.37,71.81,74.54,66.78,74.01,63.52,0.4395,0.74,0.7459,0.466,0.7002
1364,Santa Barbara,234270,57.6,60.3,61.1,42.9,60.5,76.09,71.68,73.68,73.01,69.03,75.73,0.7575,0.6653,0.6117,0.6425,0.4495
1411,TX Southern,215000,47,45.1,36.7,49.2,34,80.59,85.81,81.19,86.69,83.83,82.13,0.8475,0.9319,0.8705,0.9408,0.8715
1352,Robert Morris,210022,30,47.5,47.1,54.2,54.9,40.91,31.64,37.65,29.96,41.17,50.39,0.0784,0.0158,0.0686,0.0047,0.0317
1324,Oakland,209750,67.1,50,47.1,45.8,51.1,61.33,57.41,58.76,57.27,58.05,62.34,0.5969,0.2785,0.3346,,
1293,Murray St,207930,50.7,69.7,55.2,59.2,73.2,56.97,61.53,62.22,60.02,56.4,57.98,0.3379,0.3363,0.3828,0.2355,0.2413
1316,North Florida,202277,52.9,55,36.8,37.7,45.2,,,,,,,,,,,
